date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month,season_odds,home_ml_prob,away_ml_prob,home_fair_prob,overround,open_spread,close_spread,open_total,close_total,prob_diff,elo_over_market,spread_implied_prob
2012-04-20,2012,CLE,NYK,98,90,1,0.26612002,1295.3947,1571.6136,-276.21889999999985,-1.0143980915929771,1,0,0,0,1.0,0.1,8,4,2012,0.1739,0.8667,0.1671,1.0406,195.0,195.0,8.5,10.0,-0.099,1,0.05
2012-04-20,2012,DAL,GSW,104,94,1,0.81752479,1558.0444,1397.5256,160.51880000000006,1.4996668928108503,0,0,0,0,1.0,0.7,10,4,2012,0.907,0.1274,0.8768,1.0344,12.0,13.0,200.5,201.0,0.0593,0,0.05
2012-04-20,2012,SAC,OKC,92,103,0,0.20952107,1355.5435,1686.2085,-330.665,-1.3278146964454616,1,0,0,0,0.0,0.3,-11,4,2012,0.1786,0.8611,0.1718,1.0397,213.0,213.5,9.5,10.0,-0.0377,1,0.05
2012-04-20,2012,SAS,LAL,121,97,1,0.74834454,1695.1694,1605.8513,89.31809999999996,1.08980255313543,0,0,0,0,1.0,0.9,24,4,2012,0.7222,0.3125,0.698,1.0347,6.0,6.5,202.5,203.5,-0.0503,1,0.05
2012-04-21,2012,UTA,ORL,117,107,1,0.68736297,1551.6226,1514.7643,36.85829999999987,0.7878196210471659,0,0,0,0,1.0,0.8,10,4,2012,0.8333,0.2,0.8064,1.0333,9.0,9.0,191.5,194.5,0.119,0,0.05
2012-04-21,2012,PHO,DEN,107,118,0,0.6623981,1567.1055,1550.0198,17.08569999999986,0.673999341079329,0,0,0,0,0.0,0.7,-11,4,2012,0.6429,0.3846,0.6257,1.0275,4.5,4.0,210.5,210.5,-0.0367,1,0.2143
2012-04-21,2012,MIL,NJN,106,95,1,0.81209797,1507.7462,1353.4755,154.27070000000003,1.463700270291155,0,0,0,0,1.0,0.4,11,4,2012,0.8462,0.1905,0.8162,1.0367,5.0,9.5,160.0,209.0,0.0041,0,0.05
2012-04-21,2012,MIA,WAS,84,86,0,0.91291845,1671.9758,1363.7734,308.2023999999999,2.3498015082697608,0,0,0,0,0.0,0.8,-2,4,2012,0.8571,0.1818,0.825,1.0389,5.0,10.0,160.0,193.0,-0.0879,1,0.05
2012-04-21,2012,IND,PHI,106,109,0,0.75430638,1593.0199,1498.1583,94.86159999999995,1.121713308362818,0,0,0,0,0.0,0.8,-3,4,2012,0.6552,0.3774,0.6345,1.0326,5.0,4.5,188.0,189.5,-0.1198,1,0.1786
2012-04-21,2012,HOU,GSW,99,96,1,0.76176703,1496.3197,1394.3916,101.92810000000009,1.1623917093932654,0,0,1,1,1.0,0.5,3,4,2012,0.9714,0.0541,0.9472,1.0255,12.5,13.0,203.5,204.0,0.1854,0,0.05
